Date,Day,Time,Category,Activity,Duration (hrs),Value
10/10/2023,Tuesday,00:06,Personal,Sleeping Time,6.9,none
10/10/2023,Tuesday,05:30,Academics,Preparation,1.3,medium
10/10/2023,Tuesday,05:30,Academics,Waiting,0.7,medium
10/10/2023,Tuesday,07:30,Academics,Classes,2.48,medium
10/10/2023,Tuesday,09:00,Personal,Breaks,0.66,none
10/10/2023,Tuesday,09:40,Entertainment,Social Media,0.66,none
10/10/2023,Tuesday,10:00,Academics,Classes,1.98,medium
10/10/2023,Tuesday,12:00,Personal,Breaks,1.15,medium
10/10/2023,Tuesday,13:00,Academics,Preparation,1.03,low
10/10/2023,Tuesday,14:00,Work / Business,Tasks,0.54,low
10/10/2023,Tuesday,15:00,Academics,Classes,3.03,medium
10/10/2023,Tuesday,15:30,Academics,Classes,2.52,medium
10/10/2023,Tuesday,17:00,Personal,Breaks,1.97,none
10/10/2023,Tuesday,19:00,Work / Business,Tasks,1.33,none
10/10/2023,Tuesday,21:30,Entertainment,Social Media,1.02,low
10/11/2023,Wednesday,00:06,Personal,Sleeping Time,6.9,none
10/11/2023,Wednesday,08:00,Entertainment,Social Media,1.34,none
10/11/2023,Wednesday,09:00,Work / Business,Preparation,1.68,low
10/11/2023,Wednesday,10:30,Work / Business,Waiting,2.52,none
10/11/2023,Wednesday,10:30,Entertainment,Social Media,1.2,none
10/11/2023,Wednesday,11:30,Work / Business,Meetings,4.52,medium
10/11/2023,Wednesday,17:00,Personal,Breaks,1.6,low
10/11/2023,Wednesday,19:00,Work / Business,Tasks,1.5,medium
10/11/2023,Wednesday,22:30,Entertainment,Social Media, 1.8,medium
10/12/2023,Thursday,07:30,Academics,Classes,2.53,medium
10/12/2023,Thursday,09:40,Academics,Preparation,1.35,low
10/12/2023,Thursday,10:00,Academics,Classes,1.98,medium
10/12/2023,Thursday,10:30,Academics,Meetings,6.03,medium
10/12/2023,Thursday,15:30,Academics,Classes,2.48,medium
10/12/2023,Thursday,17:00,Personal,Breaks,1.97,none
10/12/2023,Thursday,17:00,Entertainment,Social Media,2.6,low
10/12/2023,Thursday,18:00,Work / Business,,1.6,low
10/12/2023,Thursday,20:45,Personal,Sleeping Time,8.93,none
10/13/2023,Friday,00:31,Personal,Sleeping Time,6.68,none
10/13/2023,Friday,07:00,Academics,Preparation,.5,low
10/13/2023,Friday,07:30,Academics,Meetings,3.02,medium
10/13/2023,Friday,10:00,Personal,Breaks,0.67,low
10/13/2023,Friday,10:40,Entertainment,Social Media,0.65,low
10/13/2023,Friday,11:00,Academics,Preparation,1.1,low
10/13/2023,Friday,13:00,Academics,Classes,2.03,medium
10/13/2023,Friday,13:00,Work / Business,Preparation,1.48,low
10/13/2023,Friday,15:40,Work / Business,Meetings,1.68,medium
10/13/2023,Friday,17:00,Personal,Breaks,1.48,none
10/13/2023,Friday,17:00,Entertainment,Social Media,1.1,low
10/13/2023,Friday,22:00,Entertainment,Social Media,0.68,low
10/14/2023,Saturday,00:06,Personal,Sleeping Time,5.92,none
10/14/2023,Saturday,10:00,Entertainment,Social Media,2.35,none
10/14/2023,Saturday,13:00,Work / Business,Preparation,1.65,low
10/14/2023,Saturday,14:40,Work / Business,Tasks,0.52,none
10/14/2023,Saturday,15:30,Work / Business,Waiting,2.35,none
10/14/2023,Saturday,17:00,Work / Business,Meetings,1.48,high
10/14/2023,Saturday,17:30,Personal,Breaks,1.53,none
10/14/2023,Saturday,20:00,Personal,Personal Errands,1.83,medium
10/14/2023,Saturday,21:00,Work / Business,Tasks,.5,medium
10/14/2023,Saturday,21:40,Entertainment,Social Media,0.75,low
10/15/2023,Sunday,00:32,Personal,Sleeping Time,5.48,none
10/15/2023,Sunday,18:00,Personal,Breaks,1.03,none
10/15/2023,Sunday,18:00,Entertainment,Social Media,1.23,none
10/15/2023,Sunday,16:00,Personal,Church,1.5,low
10/15/2023,Sunday,18:30,Personal,Personal Errands,1.8,low
10/15/2023,Sunday,21:30,Academics,Studying,2.65,medium
10/15/2023,Sunday,21:30,Entertainment,Social Media,1.36,low
10/16/2023,Monday,06:30,Academics,Preparation,1.02,low
10/16/2023,Monday,07:30,Academics,Classes,2.48,medium
10/16/2023,Monday,11:00,Academics,Studying,0.68,medium
10/16/2023,Monday,11:00,Work / Business,Meetings,1.5,medium
10/16/2023,Monday,12:00,Personal,Breaks,0.60,low
10/16/2023,Monday,13:00,Academics,Classes,2.03,medium
10/16/2023,Monday,15:00,Academics,Classes,1.48,medium
10/16/2023,Monday,17:00,Personal,Breaks,0.68,none
10/16/2023,Monday,17:00,Entertainment,Social Media,1.20,none
10/16/2023,Monday,20:00,Entertainment,Games,2.68,none
10/16/2023,Monday,21:00,Entertainment,Social Media,1.02,low
10/16/2023,Monday,22:51,Personal,Sleeping Time,6.57,none
10/17/2023,Tuesday,07:30,Academics,Classes,2.53,medium
10/17/2023,Tuesday,09:00,Entertainment,Games,0.68,low
10/17/2023,Tuesday,010:00,Academics,Waiting,0.5,low
10/17/2023,Tuesday,10:30,Academics,Classes,2.03,medium
10/17/2023,Tuesday,12:00,Personal,Breaks,1.23,low
10/17/2023,Tuesday,12:00,Entertainment,Social Media,0.70,low
10/17/2023,Tuesday,13:30,Work / Business,Tasks,3.53,medium
10/17/2023,Tuesday,17:00,Personal,Breaks,1.97,none
10/17/2023,Tuesday,20:00,Entertainment,Social Media,0.68,low
10/17/2023,Tuesday,21:00,Entertainment,Games,2.02,none
10/18/2023,Wednesday,00:16,Personal,Sleeping Time,6.85,none
10/18/2023,Wednesday,09:00,Entertainment,Social Media,1.98,low
10/18/2023,Wednesday,10:30,Work / Business,Tasks,0.68,medium
10/18/2023,Wednesday,15:00,Work / Business,Waiting,1.68,none
10/18/2023,Wednesday,15:30,Work / Business,Meetings,4.52,medium
10/18/2023,Wednesday,22:00,Entertainment,Social Media,1.02,low
10/19/2023,Thursday,00:06,Personal,Sleeping Time,6.9,none
10/19/2023,Thursday,07:30,Academics,Classes,2.53,medium
10/19/2023,Thursday,07:30,Entertainment,Social Media,0.40,low
10/19/2023,Thursday,10:00,Academics,Classes,2.02,medium
10/19/2023,Thursday,10:00,Entertainment,Social Media,0.60,low
10/19/2023,Thursday,13:00,Academics,Preparation,1.48,low
10/19/2023,Thursday,15:00,Work / Business,Meetings,0.68,high
10/19/2023,Thursday,15:30,Work / Business,Waiting,0.68,none
10/19/2023,Thursday,17:00,Work / Business,Tasks,0.68,none
10/19/2023,Thursday,19:00,Academics,Studying,1.21,none
10/19/2023,Thursday,20:00,Entertainment,Social Media,0.75,low
10/19/2023,Thursday,21:00,Entertainment,Games,1.02,none
10/20/2023,Friday,00:06,Personal,Sleeping Time,6.9,low
10/20/2023,Friday,05:30,Academics,Preparation,1.43,low
10/20/2023,Friday,07:30,Academics,Waiting,1.9,none
10/20/2023,Friday,08:30,Academics,Classes,2.53,low
10/20/2023,Friday,10:30,Academics,Meetings,0.67,low
10/20/2023,Friday,10:30,Academics,Waiting,1.23,none
10/20/2023,Friday,12:00,Personal,Breaks,1.23,none
10/20/2023,Friday,13:30,Academics,Meetings,4.53,medium
10/20/2023,Friday,15:30,Work / Business,Tasks,0.68,none
10/20/2023,Friday,18:00,Personal,Breaks,2.1,none
10/20/2023,Friday,18:30,Entertainment,Social Media,2.76,none
10/20/2023,Friday,21:00,Entertainment,Games,1.02,none
10/20/2023,Friday,22:51,Personal,Sleeping Time,6.57,none
10/21/2023,Saturday,09:30,Entertainment,Social Media,3.63,none
10/21/2023,Saturday,12:30,Personal,Breaks,1.68,none
10/21/2023,Saturday,13:50,Work / Business,Tasks,1.42,medium
10/21/2023,Saturday,13:50,Academics,Tasks,3.82,medium
10/21/2023,Saturday,17:00,Personal,Breaks,1.48,none
10/21/2023,Saturday,19:00,Academics,Waiting,0.5,none
10/21/2023,Saturday,20:00,Academics,Meetings,1.53,none
10/21/2023,Saturday,22:30,Entertainment,Games,3.02,none
10/21/2023,Saturday,24:00,Entertainment,Social Media,1.56,low
10/22/2023,Sunday,00:06,Personal,Sleeping Time,6.9,none
10/22/2023,Sunday,10:00,Entertainment,Social Media,2.75,none
10/22/2023,Sunday,12:20,Personal,Breaks,1.34,none
10/22/2023,Sunday,12:30,Academics,Tasks,2.53,medium
10/22/2023,Sunday,12:30,Entertainment,Social Media,0.45,none
10/22/2023,Sunday,15:40,Personal,Church,1.40,low
10/22/2023,Sunday,17:00,Personal,Personal Errands,4.12,low
10/22/2023,Sunday,21:40,Academics,Meetings,1.76,medium
10/22/2023,Sunday,22:40,Entertainment,Social Media,1.35,low
10/22/2023,Sunday,22:40,Entertainment,Games,2.35,low